CustomerID,monetary_value,max_date,min_date,frequency,itens_total,recency,total_time
12747,3017.0099999999998,2011-12-07T14:34:00Z,2010-12-05T15:38:00Z,11,1007,1.9270833333333333,1.0166666666666666
12748,22611.84,2011-12-09T12:20:00Z,2010-12-01T12:48:00Z,198,15219,0.02013888888888889,-0.8902777777777777
12749,3444.38,2011-12-06T09:56:00Z,2011-05-10T15:25:00Z,5,1304,3.120138888888889,2.209722222222222
12820,923.62,2011-12-06T15:12:00Z,2011-01-17T12:34:00Z,4,674,2.9006944444444445,1.9902777777777778
12821,92.72,2011-05-09T15:51:00Z,2011-05-09T15:51:00Z,1,70,213.8736111111111,212.96319444444444
12822,776.1800000000001,2011-09-30T10:04:00Z,2011-09-13T13:46:00Z,2,460,70.11458333333333,69.20416666666667
12824,397.12,2011-10-11T12:49:00Z,2011-10-11T12:49:00Z,1,232,59,58.08958333333333
12826,1460.8,2011-12-07T10:25:00Z,2010-12-09T15:21:00Z,7,1010,2.1,1.1895833333333334
12827,430.15000000000003,2011-12-04T12:17:00Z,2011-10-26T15:44:00Z,3,197,5.022222222222222,4.111805555555556
12828,1001.76,2011-12-07T08:45:00Z,2011-08-01T16:16:00Z,6,493,2.1694444444444443,1.2590277777777779
12829,60.3,2011-01-07T11:13:00Z,2010-12-14T14:54:00Z,2,10,336.06666666666666,335.15625
12831,124.75,2011-03-22T13:02:00Z,2011-03-22T13:02:00Z,1,61,261.99097222222224,261.0805555555556
12832,383.03,2011-11-07T13:30:00Z,2011-09-02T13:48:00Z,2,195,31.971527777777776,31.06111111111111
12833,389.68,2011-07-17T13:46:00Z,2011-07-17T13:46:00Z,1,154,144.96041666666667,144.05
12834,312.38,2011-03-02T09:49:00Z,2011-03-02T09:49:00Z,1,110,282.125,281.21458333333334
12836,2038.52,2011-10-11T15:10:00Z,2011-02-01T11:19:00Z,4,959,58.90208333333333,57.99166666666667
12837,91.65,2011-06-19T16:07:00Z,2011-06-19T16:07:00Z,1,21,172.8625,171.95208333333332
12838,642.5,2011-11-06T12:20:00Z,2010-12-01T11:57:00Z,2,353,33.02013888888889,32.109722222222224
12839,5262.07,2011-12-07T12:33:00Z,2010-12-07T15:48:00Z,14,3480,2.011111111111111,1.1006944444444444
